Species,type,body_size_grams,density,abundance,patch_area,diversity_patch,richness_patch,location,reference
Nasua narica,carnivore,6250,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Potos flavus,carnivore,3000,NA,24,12557,NA,NA,Mexico,Estrada_etal1994
Potos flavus,carnivore,3000,NA,22,80,NA,NA,Mexico,Estrada_etal1994
Potos flavus,carnivore,3000,NA,2,800,NA,NA,Mexico,Estrada_etal1994
Potos flavus,carnivore,3000,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Mustela frenata,carnivore,3.09,NA,8,12557,NA,NA,Mexico,Estrada_etal1994
Mustela frenata,carnivore,3.09,NA,12,80,NA,NA,Mexico,Estrada_etal1994
Mustela frenata,carnivore,3.09,NA,4,800,NA,NA,Mexico,Estrada_etal1994
Mustela frenata,carnivore,3.09,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Eira barbara,carnivore,3910,NA,4,12557,NA,NA,Mexico,Estrada_etal1994
Eira barbara,carnivore,3910,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Eira barbara,carnivore,3910,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Eira barbara,carnivore,3910,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Galictis vittata,carnivore,5730,NA,8,12557,NA,NA,Mexico,Estrada_etal1994
Galictis vittata,carnivore,5730,NA,3,80,NA,NA,Mexico,Estrada_etal1994
Galictis vittata,carnivore,5730,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Galictis vittata,carnivore,5730,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Conepatus semistriatus,carnivore,2000,NA,8,12557,NA,NA,Mexico,Estrada_etal1994
Conepatus semistriatus,carnivore,2000,NA,12,80,NA,NA,Mexico,Estrada_etal1994
Conepatus semistriatus,carnivore,2000,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Conepatus semistriatus,carnivore,2000,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Lutra longicaudis,carnivore,6550,NA,4,12557,NA,NA,Mexico,Estrada_etal1994
Lutra longicaudis,carnivore,6550,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Lutra longicaudis,carnivore,6550,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Lutra longicaudis,carnivore,6550,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Felis concolor,carnivore,54432,NA,2,12557,NA,NA,Mexico,Estrada_etal1994
Felis concolor,carnivore,54432,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Felis concolor,carnivore,54432,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Felis concolor,carnivore,54432,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Felis wiedii,carnivore,3270,NA,2,12557,NA,NA,Mexico,Estrada_etal1994
Felis wiedii,carnivore,3270,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Felis wiedii,carnivore,3270,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Felis wiedii,carnivore,3270,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Felis yagouaroundi,carnivore,6880,NA,10,12557,NA,NA,Mexico,Estrada_etal1994
Felis yagouaroundi,carnivore,6880,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Felis yagouaroundi,carnivore,6880,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Felis yagouaroundi,carnivore,6880,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Felis pardalis,carnivore,9525.5,NA,4,12557,NA,NA,Mexico,Estrada_etal1994
Felis pardalis,carnivore,9525.5,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Felis pardalis,carnivore,9525.5,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Felis pardalis,carnivore,9525.5,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Tayassu tajacu,ungulate,21130,NA,12,12557,NA,NA,Mexico,Estrada_etal1994
Tayassu tajacu,ungulate,21130,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Tayassu tajacu,ungulate,21130,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Tayassu tajacu,ungulate,21130,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Mazama americana,ungulate,20550,NA,6,12557,NA,NA,Mexico,Estrada_etal1994
Mazama americana,ungulate,20550,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Mazama americana,ungulate,20550,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Mazama americana,ungulate,20550,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Marmosops incanus,marsupial,5988,NA,2.2,840,NA,NA,Brazil,Passamani_Fernandez_2011
Marmosops incanus,marsupial,5988,NA,5.6,178.25,NA,NA,Brazil,Passamani_Fernandez_2011
Marmosops incanus,marsupial,5988,NA,9.3,6.5,NA,NA,Brazil,Passamani_Fernandez_2011
Gracilinanus microtarsus,marsupial,29.3,NA,2.9,840,NA,NA,Brazil,Passamani_Fernandez_2011
Gracilinanus microtarsus,marsupial,29.3,NA,0.8,178.25,NA,NA,Brazil,Passamani_Fernandez_2011
Gracilinanus microtarsus,marsupial,29.3,NA,4.1,6.5,NA,NA,Brazil,Passamani_Fernandez_2011
Didelphis aurita,marsupial,1115,NA,1.8,840,NA,NA,Brazil,Passamani_Fernandez_2011
Didelphis aurita,marsupial,1115,NA,0.9,178.25,NA,NA,Brazil,Passamani_Fernandez_2011
Didelphis aurita,marsupial,1115,NA,2.2,6.5,NA,NA,Brazil,Passamani_Fernandez_2011
Euryoryzomys russatus,rodent,60.5,NA,0,840,NA,NA,Brazil,Passamani_Fernandez_2011
Euryoryzomys russatus,rodent,60.5,NA,1.3,178.25,NA,NA,Brazil,Passamani_Fernandez_2011
Euryoryzomys russatus,rodent,60.5,NA,3,6.5,NA,NA,Brazil,Passamani_Fernandez_2011
Trinomys paratus,rodent,226.3,NA,1.3,840,NA,NA,Brazil,Passamani_Fernandez_2011
Trinomys paratus,rodent,226.3,NA,0.8,178.25,NA,NA,Brazil,Passamani_Fernandez_2011
Trinomys paratus,rodent,226.3,NA,0.5,6.5,NA,NA,Brazil,Passamani_Fernandez_2011
Rhipidomys mastacalis,rodent,77.5,NA,1.2,840,NA,NA,Brazil,Passamani_Fernandez_2011
Rhipidomys mastacalis,rodent,77.5,NA,0.2,178.25,NA,NA,Brazil,Passamani_Fernandez_2011
Rhipidomys mastacalis,rodent,77.5,NA,2.1,6.5,NA,NA,Brazil,Passamani_Fernandez_2011
Guerlinguetus aestuans,rodent,803,NA,0.1,840,NA,NA,Brazil,Passamani_Fernandez_2011
Guerlinguetus aestuans,rodent,803,NA,1,178.25,NA,NA,Brazil,Passamani_Fernandez_2011
Guerlinguetus aestuans,rodent,803,NA,1.5,6.5,NA,NA,Brazil,Passamani_Fernandez_2011
Caluromys philander,marsupial,300,NA,0.7,840,NA,NA,Brazil,Passamani_Fernandez_2011
Caluromys philander,marsupial,300,NA,0.7,178.25,NA,NA,Brazil,Passamani_Fernandez_2011
Caluromys philander,marsupial,300,NA,0.3,6.5,NA,NA,Brazil,Passamani_Fernandez_2011
Akodon cursor,rodent,39.84,NA,0.1,840,NA,NA,Brazil,Passamani_Fernandez_2011
Akodon cursor,rodent,39.84,NA,0.7,178.25,NA,NA,Brazil,Passamani_Fernandez_2011
Akodon cursor,rodent,39.84,NA,1.3,6.5,NA,NA,Brazil,Passamani_Fernandez_2011
Philander opossum,marsupial,570,NA,2,100,NA,NA,Mexico,Garmendia_etal2013
Philander opossum,marsupial,570,NA,0,500,NA,NA,Mexico,Garmendia_etal2013
Cabassous centralis,xenarthra,3670,NA,6,100,NA,NA,Mexico,Garmendia_etal2013
Cabassous centralis,xenarthra,3670,NA,0,500,NA,NA,Mexico,Garmendia_etal2013
Dasypus novemcinctus,xenarthra,3401,NA,19,100,NA,NA,Mexico,Garmendia_etal2013
Dasypus novemcinctus,xenarthra,3401,NA,3,500,NA,NA,Mexico,Garmendia_etal2013
Tamandua mexicana,xenarthra,4180,NA,2,100,NA,NA,Mexico,Garmendia_etal2013
Tamandua mexicana,xenarthra,4180,NA,0,500,NA,NA,Mexico,Garmendia_etal2013
Cuniculus paca,rodent,3627,NA,16,100,NA,NA,Mexico,Garmendia_etal2013
Cuniculus paca,rodent,3627,NA,2,500,NA,NA,Mexico,Garmendia_etal2013
Dasyprocta punctata,rodent,2310,NA,2,100,NA,NA,Mexico,Garmendia_etal2013
Dasyprocta punctata,rodent,2310,NA,0,500,NA,NA,Mexico,Garmendia_etal2013
Urocyon cinereoargenteus,carnivore,3749,NA,2,100,NA,NA,Mexico,Garmendia_etal2013
Urocyon cinereoargenteus,carnivore,3749,NA,0,500,NA,NA,Mexico,Garmendia_etal2013
Herpailurus yagouarundi,carnivore,5443.11,NA,1,100,NA,NA,Mexico,Garmendia_etal2013
Herpailurus yagouarundi,carnivore,5443.11,NA,0,500,NA,NA,Mexico,Garmendia_etal2013
Leopardus wiedii,carnivore,3270,NA,4,100,NA,NA,Mexico,Garmendia_etal2013
Leopardus wiedii,carnivore,3270,NA,0,500,NA,NA,Mexico,Garmendia_etal2013
Leopardus pardalis,carnivore,3270,NA,7,100,NA,NA,Mexico,Garmendia_etal2013
Leopardus pardalis,carnivore,3270,NA,2,500,NA,NA,Mexico,Garmendia_etal2013
Panthera onca,carnivore,34470,NA,0,100,NA,NA,Mexico,Garmendia_etal2013
Panthera onca,carnivore,34470,NA,2,500,NA,NA,Mexico,Garmendia_etal2013
Puma concolor,carnivore,54432,NA,2,100,NA,NA,Mexico,Garmendia_etal2013
Puma concolor,carnivore,54432,NA,1,500,NA,NA,Mexico,Garmendia_etal2013
Conepatus semistriatus,carnivore,2000,NA,1,100,NA,NA,Mexico,Garmendia_etal2013
Conepatus semistriatus,carnivore,2000,NA,0,500,NA,NA,Mexico,Garmendia_etal2013
Eira barbara,carnivore,3910,NA,4,100,NA,NA,Mexico,Garmendia_etal2013
Eira barbara,carnivore,3910,NA,0,500,NA,NA,Mexico,Garmendia_etal2013
Nasua narica,carnivore,6250,NA,6,100,NA,NA,Mexico,Garmendia_etal2013
Nasua narica,carnivore,6250,NA,1,500,NA,NA,Mexico,Garmendia_etal2013
Procyon lotor,carnivore,4309,NA,9,100,NA,NA,Mexico,Garmendia_etal2013
Procyon lotor,carnivore,4309,NA,0,500,NA,NA,Mexico,Garmendia_etal2013
Mazama americana,ungulate,20550,NA,12,100,NA,NA,Mexico,Garmendia_etal2013
Mazama americana,ungulate,20550,NA,3,500,NA,NA,Mexico,Garmendia_etal2013
Odocoileus virginianus,ungulate,65090,NA,14,100,NA,NA,Mexico,Garmendia_etal2013
Odocoileus virginianus,ungulate,65090,NA,1,500,NA,NA,Mexico,Garmendia_etal2013
Pecari tajacu,ungulate,21266,NA,18,100,NA,NA,Mexico,Garmendia_etal2013
Pecari tajacu,ungulate,21266,NA,3,500,NA,NA,Mexico,Garmendia_etal2013
Tayassu pecari,ungulate,32233,NA,0,100,NA,NA,Mexico,Garmendia_etal2013
Tayassu pecari,ungulate,32233,NA,2,500,NA,NA,Mexico,Garmendia_etal2013
Tapirus bairdii,ungulate,14260,NA,2,100,NA,NA,Mexico,Garmendia_etal2013
Tapirus bairdii,ungulate,14260,NA,4,500,NA,NA,Mexico,Garmendia_etal2013
Callithrix jacchus,primates,280,NA,0.1357,860,NA,NA,Brazil,da Silva_Pontes2008
Guerlinguetus alphonsei,rodent,803,NA,0.1163,860,NA,NA,Brazil,da Silva_Pontes2008
Nasua nasua,carnivore,3794,NA,0.1163,860,NA,NA,Brazil,da Silva_Pontes2008
Puma yagouaroundi,carnivore,6880,NA,0.0097,860,NA,NA,Brazil,da Silva_Pontes2008
Bradypus variegatus,xenarthra,3121,NA,0.0097,860,NA,NA,Brazil,da Silva_Pontes2008
Cerdocyon thous,carnivore,5240,NA,0.119,50,NA,NA,Brazil,da Silva_Pontes2008
Leopardus tigrinus,carnivore,2250,NA,0.0595,300,NA,NA,Brazil,da Silva_Pontes2008
Puma yagouaroundi,carnivore,6880,NA,0.0595,500,NA,NA,Brazil,da Silva_Pontes2008
Eira barbara,carnivore,3910,NA,0.119,500,NA,NA,Brazil,da Silva_Pontes2008
Eira barbara,carnivore,3910,NA,0.119,300,NA,NA,Brazil,da Silva_Pontes2008
Nasua nasua,carnivore,3794,NA,0.0595,50,NA,NA,Brazil,da Silva_Pontes2008
Nasua nasua,carnivore,3794,NA,0.2976,500,NA,NA,Brazil,da Silva_Pontes2008
Procyon cancrivorus,carnivore,6930,NA,0.0595,500,NA,NA,Brazil,da Silva_Pontes2008
Procyon cancrivorus,carnivore,6930,NA,0.119,300,NA,NA,Brazil,da Silva_Pontes2008
Dasypus novemcinctus,xenarthra,3401,NA,0.0595,500,NA,NA,Brazil,da Silva_Pontes2008
Dasypus novemcinctus,xenarthra,3401,NA,0.119,300,NA,NA,Brazil,da Silva_Pontes2008
Euphractus sixcinctus,xenarthra,2930,NA,0.0595,50,NA,NA,Brazil,da Silva_Pontes2008
Euphractus sixcinctus,xenarthra,2930,NA,0.1042,10,NA,NA,Brazil,da Silva_Pontes2008
Sylvilagus brasiliensis,rodent,986.74,NA,0.119,50,NA,NA,Brazil,da Silva_Pontes2008
Tamandua tetradactyla,xenarthra,5515,NA,0.0595,500,NA,NA,Brazil,da Silva_Pontes2008
Tamandua tetradactyla,xenarthra,5515,NA,0.0595,300,NA,NA,Brazil,da Silva_Pontes2008
Bradypus variegatus,xenarthra,3121,NA,0.0595,500,NA,NA,Brazil,da Silva_Pontes2008
Callithrix jacchus,primates,280,NA,0.1042,10,NA,NA,Brazil,da Silva_Pontes2008
Callithrix jacchus,primates,280,NA,0.2381,50,NA,NA,Brazil,da Silva_Pontes2008
Callithrix jacchus,primates,280,NA,0.1786,500,NA,NA,Brazil,da Silva_Pontes2008
Hydrochoerus hydrochaeris,rodent,28500,NA,0.0595,500,NA,NA,Brazil,da Silva_Pontes2008
Cuniculus paca,rodent,3627,NA,0.119,500,NA,NA,Brazil,da Silva_Pontes2008
Dasyprocta agouti,rodent,2684,NA,0.2381,500,NA,NA,Brazil,da Silva_Pontes2008
Dasyprocta prymnolopha,rodent,2900,NA,0.0595,50,NA,NA,Brazil,da Silva_Pontes2008
Coendou prehensilis,rodent,4120,NA,0.119,50,NA,NA,Brazil,da Silva_Pontes2008
Guerlinguetus alphonsei,rodent,803,NA,0.2381,50,NA,NA,Brazil,da Silva_Pontes2008
Guerlinguetus alphonsei,rodent,803,NA,0.0595,500,NA,NA,Brazil,da Silva_Pontes2008
Guerlinguetus alphonsei,rodent,803,NA,0.119,300,NA,NA,Brazil,da Silva_Pontes2008
Akodon montensis,rodent,42,NA,32,37,NA,NA,Brazil,Rocha_etal2011
Akodon montensis,rodent,42,NA,43,1,NA,NA,Brazil,Rocha_etal2011
Akodon montensis,rodent,42,NA,2,45,NA,NA,Brazil,Rocha_etal2011
Gracilinanus microtarsus,marsupial,29.3,NA,0,37,NA,NA,Brazil,Rocha_etal2011
Gracilinanus microtarsus,marsupial,29.3,NA,52,1,NA,NA,Brazil,Rocha_etal2011
Gracilinanus microtarsus,marsupial,29.3,NA,10,45,NA,NA,Brazil,Rocha_etal2011
Cerradomys subflavus,rodent,49.91,NA,5,37,NA,NA,Brazil,Rocha_etal2011
Cerradomys subflavus,rodent,49.91,NA,23,1,NA,NA,Brazil,Rocha_etal2011
Cerradomys subflavus,rodent,49.91,NA,13,45,NA,NA,Brazil,Rocha_etal2011
Rhipidomys sp.,rodent,70.8,NA,17,37,NA,NA,Brazil,Rocha_etal2011
Rhipidomys sp.,rodent,70.8,NA,19,1,NA,NA,Brazil,Rocha_etal2011
Rhipidomys sp.,rodent,70.8,NA,0,45,NA,NA,Brazil,Rocha_etal2011
Marmosops incanus,marsupial,59.88,NA,50,37,NA,NA,Brazil,Rocha_etal2011
Marmosops incanus,marsupial,59.88,NA,77,1,NA,NA,Brazil,Rocha_etal2011
Marmosops incanus,marsupial,59.88,NA,1,45,NA,NA,Brazil,Rocha_etal2011
Calomys sp.,rodent,25.67,NA,0,37,NA,NA,Brazil,Rocha_etal2011
Calomys sp.,rodent,25.67,NA,2,1,NA,NA,Brazil,Rocha_etal2011
Calomys sp.,rodent,25.67,NA,15,45,NA,NA,Brazil,Rocha_etal2011
Euryoryzomys russatus,rodent,60.5,NA,12,37,NA,NA,Brazil,Rocha_etal2011
Euryoryzomys russatus,rodent,60.5,NA,18,1,NA,NA,Brazil,Rocha_etal2011
Euryoryzomys russatus,rodent,60.5,NA,0,45,NA,NA,Brazil,Rocha_etal2011
Didelphis albiventris,xenarthra,1030,NA,30,142,NA,NA,Brazil,Pires_Cademartori_2012
Tamandua tetradactyla,xenarthra,5515,NA,1,142,NA,NA,Brazil,Pires_Cademartori_2012
Dasypus novemcinctus,xenarthra,3401,NA,2,142,NA,NA,Brazil,Pires_Cademartori_2012
Alouatta guariba,primates,5500,NA,29,142,NA,NA,Brazil,Pires_Cademartori_2012
Cerdocyon thous,carnivore,5240,NA,5,142,NA,NA,Brazil,Pires_Cademartori_2012
Procyon cancrivorus,carnivore,6930,NA,7,142,NA,NA,Brazil,Pires_Cademartori_2012
Conepatus chinga,carnivore,1920,NA,1,142,NA,NA,Brazil,Pires_Cademartori_2012
Lontra longicaudis,carnivore,6550,NA,3,142,NA,NA,Brazil,Pires_Cademartori_2012
Puma yagouaroundi,carnivore,6880,NA,1,142,NA,NA,Brazil,Pires_Cademartori_2012
Leopardus pardalis,carnivore,9525.5,NA,0,142,NA,NA,Brazil,Pires_Cademartori_2012
Mazama sp. ,ungulate,19549.5,NA,2,142,NA,NA,Brazil,Pires_Cademartori_2012
Coendou spinosus,rodent,750.78,NA,3,142,NA,NA,Brazil,Pires_Cademartori_2012
Hydrochoerus hydrochaeris,rodent,28500,NA,4,142,NA,NA,Brazil,Pires_Cademartori_2012
Dasyprocta azarae,rodent,2980,NA,1,142,NA,NA,Brazil,Pires_Cademartori_2012
Myocastor coypus,rodent,6360,NA,4,142,NA,NA,Brazil,Pires_Cademartori_2012
Lepus europaeus,rodent,1954,NA,4,142,NA,NA,Brazil,Pires_Cademartori_2012
